id,lon,lat,elev
14509224.0,-80.2694906,43.4231919,305.0
5116061676.0,-80.2712241,43.4229178,305.0
416201623.0,-80.2754247,43.4222535,305.0
4284059781.0,-80.2785449,43.4216553,312.0
1368318071.0,-80.2791908,43.4215315,315.0
1368318066.0,-80.2797885,43.4213121,316.0
1368318053.0,-80.2802897,43.4209714,315.0
1368318040.0,-80.280705,43.4205893,315.0
2512810332.0,-80.2808827,43.4203045,315.0
1243481295.0,-80.2810258,43.4199968,315.0
1368318012.0,-80.2811316,43.4194544,319.0
1368317994.0,-80.2810866,43.418941,320.0
1368317982.0,-80.2807974,43.4178534,320.0
1368317978.0,-80.2805275,43.4170645,317.0
1368317977.0,-80.2804697,43.4167378,316.0
1368317976.0,-80.2805147,43.4165884,316.0
1368317975.0,-80.2806111,43.4164717,316.0
1368317969.0,-80.280746,43.4163643,316.0
1368317967.0,-80.2809517,43.416299,317.0
14509209.0,-80.2812514,43.4162065,317.0
3383714828.0,-80.2998081,43.4252735,320.0
14956873.0,-80.2997782,43.4251868,320.0
14930728.0,-80.295732,43.4513844,296.0
14956919.0,-80.2948648,43.4493271,295.0
14956788.0,-80.2939151,43.447157,307.0
24557922.0,-80.2921786,43.4432095,317.0
24557930.0,-80.2912857,43.4409622,314.0
20939742.0,-80.2904301,43.4388404,312.0
4711970786.0,-80.2814392,43.4161987,317.0
14956924.0,-80.2837942,43.4157817,315.0
3458484622.0,-80.285094,43.4155645,315.0
14956927.0,-80.2945993,43.4138754,315.0
4972157697.0,-80.2945681,43.4137737,315.0
14965560.0,-80.2935359,43.4104103,320.0
14965586.0,-80.2993032,43.3966127,315.0
2584563250.0,-80.2991189,43.3966679,315.0
2584563286.0,-80.2989687,43.3967429,315.0
2584563284.0,-80.2974087,43.3976542,313.0
14965587.0,-80.2972709,43.3978152,315.0
2584563259.0,-80.297107,43.3982192,315.0
14965588.0,-80.2970831,43.3983833,315.0
2584563261.0,-80.2971164,43.3985205,315.0
4497692046.0,-80.2973835,43.399361,314.0
14965579.0,-80.2974219,43.3994817,314.0
4972151175.0,-80.2989033,43.4017641,319.0
14965589.0,-80.2987211,43.4017964,319.0
14965596.0,-80.2996983,43.4047739,317.0
14965597.0,-80.298661,43.4049962,316.0
4656636068.0,-80.2984831,43.4051271,316.0
4972151176.0,-80.2996617,43.4046625,318.0
1530512960.0,-80.2985602,43.4014965,316.0
1530512930.0,-80.2979379,43.4009229,314.0
14965598.0,-80.2978049,43.4007122,314.0
4497692047.0,-80.2974655,43.3996218,314.0
679524401.0,-80.2890204,43.4197587,315.0
679524392.0,-80.2895186,43.4200885,315.0
679524391.0,-80.2898009,43.4202815,315.0
4972123210.0,-80.2899512,43.4203849,315.0
14965599.0,-80.2900487,43.4204518,315.0
679524469.0,-80.2866978,43.4296313,308.0
4488908150.0,-80.2872864,43.4294152,309.0
4488908149.0,-80.2875278,43.4293393,310.0
14965621.0,-80.287817,43.4292658,310.0
24557965.0,-80.2886111,43.4291508,310.0
14657114.0,-80.28528,43.426213,315.0
1368318101.0,-80.2850271,43.425499,315.0
4216597696.0,-80.2849172,43.4252107,315.0
3458484661.0,-80.2848325,43.4250893,315.0
1368318060.0,-80.283308,43.421159,315.0
1368318034.0,-80.2830511,43.4204416,315.0
1368318038.0,-80.2828706,43.4204789,315.0
1368318064.0,-80.2831555,43.421245,315.0
20380873.0,-79.6247373,43.7530998,175.0
391899963.0,-79.619833,43.7541681,174.0
430595566.0,-79.6149259,43.7552703,174.0
1360124654.0,-79.4051454,43.6973458,155.0
1360124656.0,-79.4052586,43.6974201,155.0
1360124657.0,-79.4054471,43.697481,155.0
1557883011.0,-79.4055811,43.6974813,155.0
20380923.0,-79.4027266,43.6965566,155.0
832197924.0,-79.4026766,43.696398,155.0
35363918.0,-79.4024344,43.6957614,157.0
1557894814.0,-79.4023936,43.6955579,157.0
537038053.0,-79.4023832,43.6955062,158.0
98499903.0,-79.4012311,43.6920881,160.0
3637355901.0,-79.4011502,43.6918138,160.0
540367584.0,-79.4059998,43.7403448,134.0
540367583.0,-79.40585,43.7403662,132.0
540382276.0,-79.4057593,43.7403868,132.0
20641936.0,-79.4050277,43.7405276,124.0
538135974.0,-79.4049394,43.7405492,124.0
516696976.0,-79.404764,43.7405779,122.0
20641943.0,-79.4032616,43.7407346,129.0
20641944.0,-79.4030296,43.740781,129.0
20641946.0,-79.4026514,43.7408924,126.0
20641947.0,-79.402084,43.7410563,124.0
20641949.0,-79.4013903,43.7412407,123.0
20641950.0,-79.4007448,43.7413811,126.0
20641952.0,-79.4000752,43.7415535,126.0
20641953.0,-79.3999589,43.7415415,126.0
20641969.0,-79.4006445,43.740531,120.0
20641971.0,-79.4005082,43.7404348,120.0
20641972.0,-79.4002556,43.7402985,120.0
20641974.0,-79.3999709,43.7401782,120.0
20641968.0,-79.3996942,43.740094,120.0
20641955.0,-79.3998747,43.7414853,127.0
20641956.0,-79.3997744,43.7412608,125.0
20641958.0,-79.3996782,43.7410322,125.0
20641959.0,-79.3995539,43.7406954,123.0
20641961.0,-79.3995258,43.7405551,123.0
20641963.0,-79.3995339,43.7404629,122.0
20641964.0,-79.3995619,43.7403907,122.0
20641965.0,-79.3996261,43.7402624,121.0
20641967.0,-79.3996702,43.7401501,121.0
20641975.0,-79.3996561,43.7400498,120.0
20641977.0,-79.3996072,43.7399731,120.0
20641978.0,-79.3995724,43.7399089,120.0
20641995.0,-79.4015119,43.7384567,126.0
20641993.0,-79.4012946,43.7384871,125.0
20641992.0,-79.4011533,43.7385023,125.0
20641996.0,-79.4009816,43.7384784,125.0
20641997.0,-79.4006186,43.7384741,127.0
20641999.0,-79.4002991,43.7384676,130.0
20642001.0,-79.3999122,43.7384719,130.0
20642002.0,-79.3995275,43.7384806,130.0
20642004.0,-79.3991384,43.7385045,127.0
20642005.0,-79.3987515,43.7385545,123.0
20642007.0,-79.3983537,43.7385784,122.0
20642008.0,-79.3980016,43.7385784,122.0
20642010.0,-79.397719,43.7385675,123.0
20642011.0,-79.3974365,43.7386132,124.0
20642012.0,-79.3971865,43.7386501,124.0
20642014.0,-79.3969692,43.7386806,124.0
20642016.0,-79.3967888,43.7386871,124.0
20642017.0,-79.3965192,43.7386719,125.0
20642019.0,-79.3962258,43.7386523,125.0
20642020.0,-79.3958411,43.7386588,126.0
20642022.0,-79.3955085,43.7386849,126.0
20642023.0,-79.395176,43.7387349,126.0
20642025.0,-79.3948325,43.7388827,125.0
20642026.0,-79.3946782,43.7389783,124.0
20642027.0,-79.3945826,43.7392087,123.0
20642029.0,-79.3945065,43.7393848,122.0
20642031.0,-79.3945087,43.7394652,122.0
20642063.0,-79.3969554,43.739185,122.0
20642062.0,-79.3969113,43.7394011,121.0
20642060.0,-79.3968054,43.7396127,120.0
20642059.0,-79.3966996,43.7397494,120.0
20642057.0,-79.3965541,43.7398685,120.0
20642056.0,-79.3963203,43.7399347,120.0
20642054.0,-79.3959984,43.7399391,120.0
20642053.0,-79.3956412,43.7398861,121.0
20642051.0,-79.3952311,43.7397627,121.0
20642050.0,-79.3948783,43.739648,122.0
20642032.0,-79.3945652,43.7395348,121.0
20642034.0,-79.3945304,43.7390088,124.0
20642035.0,-79.3941805,43.7391109,123.0
20642037.0,-79.3938501,43.7391761,122.0
20642038.0,-79.3935697,43.7392044,122.0
20642040.0,-79.3932784,43.7391935,122.0
20642041.0,-79.3930241,43.7391979,122.0
20642042.0,-79.3927111,43.7392326,122.0
20642043.0,-79.3923134,43.7392892,121.0
20642045.0,-79.3919504,43.7393609,120.0
20642047.0,-79.39162,43.7394261,120.0
20642048.0,-79.3913309,43.7395022,119.0
20642065.0,-79.3977437,43.7377286,129.0
20641990.0,-79.4010076,43.7385849,125.0
20641989.0,-79.4008918,43.7386582,125.0
20641987.0,-79.4007418,43.7387932,125.0
20641986.0,-79.4005819,43.7390181,123.0
20641984.0,-79.400412,43.739193,120.0
516696978.0,-79.4003516,43.739252,120.0
20642194.0,-79.3942539,43.7419835,130.0
20642196.0,-79.3942204,43.7418864,128.0
20642173.0,-79.3941825,43.7413967,126.0
20642174.0,-79.3941298,43.7409055,123.0
20642176.0,-79.3941052,43.7407568,123.0
20642177.0,-79.3940473,43.7406097,122.0
20642178.0,-79.3939447,43.7404938,122.0
20642180.0,-79.3938467,43.7404135,121.0
20642181.0,-79.3937308,43.7404001,121.0
20642183.0,-79.3935391,43.7404626,121.0
20642184.0,-79.3931869,43.740574,121.0
20642186.0,-79.3928214,43.7406319,120.0
20642187.0,-79.3924559,43.7406319,120.0
20642189.0,-79.391912,43.7405651,121.0
20642190.0,-79.3913504,43.7404982,122.0
20642192.0,-79.3907575,43.7404135,123.0
20642193.0,-79.3905212,43.7403823,124.0
20642156.0,-79.3903544,43.7403496,124.0
20642155.0,-79.3900756,43.7401212,125.0
20642153.0,-79.3897733,43.7398692,124.0
20642152.0,-79.3894307,43.7395501,125.0
20642150.0,-79.3893769,43.7394594,124.0
20642171.0,-79.3937244,43.7414832,124.0
20642170.0,-79.3930485,43.7416209,123.0
20642168.0,-79.3923773,43.7417441,123.0
20642167.0,-79.3921276,43.7417506,123.0
20642165.0,-79.3919165,43.7417196,123.0
20642164.0,-79.391223,43.7413803,124.0
20642162.0,-79.3906589,43.7410808,127.0
20642161.0,-79.3905544,43.7409415,127.0
20642159.0,-79.3904847,43.7407674,127.0
20642158.0,-79.3904429,43.7404887,124.0
20642071.0,-79.3999189,43.7379997,130.0
20642069.0,-79.399902,43.7378899,130.0
20642068.0,-79.3998218,43.7378519,130.0
20642066.0,-79.3991603,43.7378356,128.0
20642123.0,-79.4030374,43.7404004,123.0
516696980.0,-79.4028659,43.7401484,121.0
20642118.0,-79.4022594,43.7393368,124.0
20642119.0,-79.4016169,43.7395938,122.0
20641912.0,-79.4049384,43.7360559,160.0
540382272.0,-79.4048457,43.7361225,160.0
20642112.0,-79.404816,43.7361405,160.0
956538588.0,-79.4047393,43.7361698,160.0
956538566.0,-79.4044133,43.7363091,160.0
20642110.0,-79.4039744,43.7365084,160.0
956538612.0,-79.4035435,43.7366661,160.0
20642109.0,-79.4033893,43.7367669,160.0
20642107.0,-79.4031824,43.7369105,154.0
20642106.0,-79.4031022,43.7370118,151.0
20642104.0,-79.4030177,43.7372187,148.0
20642103.0,-79.4029164,43.7375353,145.0
20642101.0,-79.4028067,43.7378688,140.0
20642100.0,-79.4026715,43.7381433,137.0
20642086.0,-79.402566,43.738291,133.0
20641911.0,-79.4051224,43.7370065,152.0
540382275.0,-79.4050224,43.7370541,150.0
20642113.0,-79.4049429,43.737092,150.0
20642115.0,-79.4045756,43.7373495,148.0
956538636.0,-79.404504,43.7374303,144.0
20642098.0,-79.4044279,43.7375142,144.0
20642097.0,-79.404335,43.7377464,140.0
20642095.0,-79.4041661,43.7381348,139.0
20642093.0,-79.404069,43.7382193,139.0
20642092.0,-79.4039128,43.7382784,140.0
20642091.0,-79.4035666,43.7383037,137.0
20642089.0,-79.4031022,43.7383417,135.0
20642088.0,-79.4026969,43.7383586,134.0
