X,Y,label_rte,operator,route_code
-79.3792841605532,43.6457190200327,UNION STATION,TTC,SS38
-79.3780240945346,43.6487714707496,KING STATION,TTC,SS39
-79.3789905488693,43.6524857804054,QUEEN STATION,TTC,SS40
-79.3810419005829,43.6559813528941,DUNDAS STATION,TTC,SS41
-79.3831058687715,43.6608636619703,COLLEGE STATION,TTC,SS42
-79.3842693338163,43.6651119357752,WELLESLEY STATION,TTC,SS43
-79.4071880525621,43.6750407855525,DUPONT STATION,TTC,SS44
-79.4355168903934,43.6990762062836,EGLINTON WEST STATION,TTC,SS45
-79.4410081185654,43.709379590721,GLENCAIRN STATION,TTC,SS46
-79.4441648721758,43.7160448234189,LAWRENCE WEST STATION,TTC,SS47
-79.4486300849331,43.7251187862512,YORKDALE STATION,TTC,SS48
-79.4516108835549,43.7338520057808,WILSON STATION,TTC,SS49
-79.3889569487572,43.6767300648205,ROSEDALE STATION,TTC,SS50
-79.3916925721724,43.6829902550428,SUMMERHILL STATION,TTC,SS51
-79.3968190056969,43.6978015604665,DAVISVILLE STATION,TTC,SS52
-79.3982022684074,43.7054303866352,EGLINTON STATION,TTC,SS53
-79.4019245559822,43.7251635979291,LAWRENCE STATION,TTC,SS54
-79.406716938101,43.7451082299566,YORK MILLS STATION,TTC,SS55
-79.4112012326036,43.7616951467435,SHEPPARD STATION,TTC,SS56
-79.4164075065725,43.7818997299549,FINCH STATION,TTC,SS57
-79.4042341671522,43.6677628952001,SPADINA STATION,TTC,SS58
-79.3850126070536,43.6484922771118,ST ANDREW STATION,TTC,SS61
-79.3936521695297,43.6876637976006,ST CLAIR STATION,TTC,SS62
-79.3878672122673,43.6548803208157,ST PATRICK STATION,TTC,SS63
-79.4157984977804,43.6839482299419,ST CLAIR WEST STATION,TTC,SS64
-79.397647651226,43.6685933526349,ST GEORGE STATION,TTC,SS65
-79.4130056505938,43.7686260799211,NORTH YORK CENTRE STATION,TTC,SS66
-79.462980892675,43.7500322130671,DOWNSVIEW STATION,TTC,SS67
-79.3869660445224,43.7671630055637,BAYVIEW STATION,TTC,SS68
-79.3765544625585,43.7690053767676,BESSARION STATION,TTC,SS69
-79.367393800939,43.7707748354508,LESLIE STATION,TTC,SS70
-79.346907421921,43.775396115437,DON MILLS STATION,TTC,SS71
