"id","area_km"
4210010.00,0.27
4210011.00,0.13
4210012.00,0.23
4210013.00,0.13
4210014.00,0.12
4210015.00,1.10
4210016.00,0.68
4210017.00,0.08
4210018.00,0.13
4210019.00,0.16
4210020.00,0.26
4210021.00,0.44
4210022.00,0.33
4210023.00,0.15
4210024.00,0.27
4210025.00,0.73
4210026.00,1.62
4210027.00,0.41
4210028.00,1.73
4210029.00,0.31
4210030.00,0.36
4210031.00,0.93
4210032.00,1.30
4210033.01,0.62
4210033.02,0.49
4210034.00,0.61
4210035.00,0.34
4210036.00,0.78
4210037.00,0.70
4210038.01,0.42
4210038.02,0.47
4210039.01,7.56
4210039.02,1.30
4210040.01,2.27
4210040.03,2.85
4210040.04,3.03
4210041.02,4.07
4210041.03,13.96
4210041.04,7.88
4210041.05,3.11
4210041.06,2.65
4210041.07,0.86
4210041.08,1.11
4210041.09,3.49
4210100.00,2.32
4210101.00,2.48
4210102.00,0.41
4210103.00,1.50
4210110.00,1.68
4210111.00,2.26
4210112.01,3.04
4210112.02,0.70
4210113.01,1.63
4210113.02,4.19
4210114.00,1.57
4210115.00,2.36
4210116.00,3.25
4210117.01,2.13
4210117.02,0.80
4210118.00,4.50
4210119.02,41.50
4210119.03,4.22
4210119.04,7.66
4210120.01,1.86
4210120.02,3.18
4210120.03,1.57
4210140.01,2.69
4210140.02,2.72
4210140.03,2.32
4210160.01,1.50
4210160.03,2.53
4210160.04,1.70
4210160.05,2.06
4210170.03,23.11
4210170.04,2.43
4210170.05,3.23
4210170.06,3.39
4210170.07,37.96
4210190.00,435.22
4210200.00,672.25
4210210.01,8.90
4210210.02,25.11
4210220.01,16.28
4210220.02,19.76
4210230.01,2.18
4210230.02,6.23
4210240.01,10.93
4210240.02,6.87
4210260.01,0.86
4210260.02,0.72
4210260.03,3.37
4210270.01,1.37
4210270.03,0.87
4210270.04,0.73
4210271.01,1.59
4210271.02,1.40
4210272.00,0.70
4210273.01,1.00
4210273.02,1.15
4210273.03,1.29
