"id","area_km"
10010740,127.89
10010741,677.62
10010742,10.05
10010743,10.50
10010744,13.62
10010745,6.82
10010746,833.08
10010747,16.15
10010748,5.84
10010749,29.14
10010750,460.20
10010751,18.41
10010752,19.79
10010753,26.21
10010754,1.45
10010755,0.31
10010756,2.97
10010757,0.09
10010758,0.43
10010759,1.64
10010760,14.33
10010761,10.66
10010762,57.04
10010763,0.47
10010764,2.03
10010765,1.06
10010766,1.85
10010767,3.76
10010768,17.71
10010769,8.28
10010770,0.90
10010771,4.53
10010772,10.42
10010773,12.65
10010774,0.08
10010775,2.53
10010776,2.69
10010777,5.45
10010778,1.31
10010779,0.60
10010780,0.81
10010781,7.79
10010782,0.72
10010783,0.58
10010784,0.72
10010785,2.54
10010786,10.00
10010787,7.12
10010788,15.94
10010789,26.50
10010790,31.38
10010791,0.45
10010792,9.69
10010793,8.43
10010794,5.87
10010795,1.98
10010796,3.68
10010797,2.85
10010798,4.13
10010799,1.78
10010800,2.42
10010801,3.80
10010802,3.47
10010803,3.06
10010804,3.01
10010805,0.94
10010806,0.58
10010807,2.57
10010808,1.12
10010809,3.73
10010810,1.89
10010811,5.20
10010812,2.40
10010813,14.77
10010814,2.57
10010815,0.81
10010817,1.85
10010818,0.30
10010820,0.20
10010821,1.80
10010822,0.16
10010823,0.13
10010824,5.28
10010825,150.91
10010826,0.24
10010827,0.93
1002,6099.08
10020079,1059.13
10020080,903.28
10020081,1532.27
10020082,11.29
10020083,4.85
10020084,4.82
10020085,6.15
10020086,505.31
10020087,1.49
10020088,3.68
10020089,16.52
10020090,280.13
10020091,14.64
10020092,3.20
10020093,153.63
10020094,39.11
10020095,68.55
10020096,54.34
10020097,5.28
10020098,1.67
10020099,19.50
10020100,2.22
10020101,1.37
10020102,0.10
10020103,1.64
10020104,18.30
10020105,27.25
10020106,3.75
10020107,8.13
10020108,25.60
10020109,5.87
10020110,11.07
10020111,3.82
10020112,6.52
10020113,139.49
10020114,8.98
10020115,5.63
10020116,4.65
10020117,201.47
10020118,6.95
10020119,0.19
10020120,28.36
10020121,371.66
10020122,2.48
10020123,1.13
10020124,30.92
10020125,81.62
10020126,3.91
10020127,64.89
10020128,46.44
10020129,0.26
10020130,8.16
10020131,12.94
10020132,0.72
10020133,0.20
10020134,0.20
10020135,0.22
10020136,2.69
10020137,270.47
1003,19912.67
10030056,3044.81
10030057,2.62
10030058,83.80
10030059,2.64
10030060,2.11
10030061,732.34
10030062,2.42
10030063,28.94
10030064,4.33
10030065,258.71
10030066,4.92
10030067,0.08
10030068,8.73
10030069,2570.59
10030070,6848.32
10030071,2634.58
10030072,1.89
10030073,29.48
10030074,0.37
10030075,0.91
10030076,0.58
10030077,2179.53
10030078,660.19
10030079,4.45
10030080,2.23
10030081,7.29
10030082,672.35
10030083,3.23
10030084,4.43
10030085,32.96
10030086,2.34
10030087,2.25
10030088,0.12
10030089,0.74
10030090,0.11
10030091,0.24
10030092,10.90
10030093,9.96
10030094,14.28
10030095,10.27
10030096,14.80
10030097,4.39
10030098,12.45
1004,7087.65
10040077,6.34
10040078,338.07
10040079,811.62
10040080,4.02
10040081,0.16
10040082,0.22
10040083,0.59
10040084,0.24
10040085,0.21
10040086,0.44
10040087,3.93
10040088,0.29
10040089,0.16
10040090,2.73
10040091,3.40
10040092,2.34
10040093,0.49
10040094,8.20
10040095,3.29
10040096,24.76
10040097,16.72
10040098,0.34
10040099,18.98
10040100,7.34
10040101,0.62
10040102,0.75
10040103,2229.65
10040104,22.49
10040105,6.69
10040106,1.87
10040107,17.28
10040108,148.60
10040109,398.29
10040110,27.33
10040111,1421.63
10040112,1088.72
10040113,56.51
10040114,72.71
10040115,205.97
10040116,33.46
10040117,16.05
10040118,46.97
10040119,29.11
10040120,8.10
1005,10366.48
10050076,7.03
10050077,3445.77
10050078,32.97
10050079,934.20
10050080,133.88
10050081,58.41
10050082,14.70
10050083,34.89
10050084,1.02
10050085,0.34
10050086,0.19
10050087,0.72
10050088,0.82
10050089,15.63
10050090,4.92
10050091,241.64
10050092,822.27
10050093,11.18
10050094,0.39
10050095,0.71
10050096,0.47
10050097,0.38
10050098,36.03
10050099,1.22
10050101,2.48
10050102,0.55
10050103,0.20
10050104,0.15
10050105,0.28
10050106,0.18
10050107,0.46
10050108,0.32
10050109,0.13
10050110,0.13
10050111,0.18
10050112,0.14
10050113,0.81
10050114,0.14
10050115,23.34
10050116,8.07
10050117,1.60
10050118,3.82
10050119,3.79
10050120,6.70
10050121,12.06
10050122,1322.70
10050123,7.21
10050124,63.42
10050125,0.75
10050126,0.89
10050127,15.71
10050129,0.53
10050130,0.58
10050131,57.74
10050132,0.21
10050133,4.71
10050134,0.20
10050135,0.10
10050136,0.26
10050137,0.13
10050138,0.19
10050139,0.12
10050140,2.33
10050141,0.34
10050143,0.27
10050144,0.14
10050145,0.81
10050146,0.19
10050147,0.54
10050148,0.23
10050149,0.18
10050150,483.39
10050151,2439.13
10050152,19.91
10050153,13.90
10050154,12.92
10050155,0.65
10050156,1.18
10050158,0.58
10050159,14.86
10050160,34.19
1006,16238.16
10060058,30.01
10060059,0.81
10060060,0.18
10060061,0.22
10060062,0.32
10060063,21.68
10060064,0.29
10060065,0.31
10060066,0.30
10060067,0.25
10060068,0.25
10060069,0.42
10060070,0.59
10060071,48.07
10060072,0.39
10060073,0.15
10060074,2309.79
10060075,6.39
10060076,5.37
10060077,1.55
10060078,4228.27
10060079,36.79
10060080,4.70
10060081,22.54
10060082,0.03
10060083,2.52
10060084,2.32
10060085,0.72
10060086,4065.02
10060087,25.64
10060088,10.93
10060089,1.77
10060090,0.42
10060091,0.86
10060092,0.48
10060093,0.58
10060094,3.51
10060095,3.21
10060096,5.55
10060097,7.43
10060098,1.46
10060099,0.42
10060100,0.26
10060101,0.73
10060102,0.99
10060103,0.31
10060104,0.21
10060105,0.13
10060106,0.18
10060107,0.29
10060108,0.16
10060109,0.33
10060110,0.14
10060111,0.11
10060112,2.21
10060113,6.00
10060114,0.73
10060115,0.18
10060116,0.19
10060117,0.20
10060118,0.11
10060119,0.30
10060120,1.04
10060121,6.19
10060122,18.83
10060123,0.85
10060124,1.11
10060125,5335.76
10060126,3.24
10060127,4.67
10060128,0.21
1007,9672.91
10070483,13.80
10070484,37.40
10070485,14.56
10070486,67.83
10070487,287.57
10070488,86.24
10070489,7.49
10070490,29.75
10070491,862.60
10070492,2.85
10070493,11.55
10070494,2.16
10070495,31.90
10070496,57.92
10070497,2.02
10070498,25.17
10070499,6.96
10070500,1407.15
10070501,2483.46
10070502,2.46
10070503,10.14
10070504,17.58
10070505,34.87
10070506,9.58
10070507,8.29
10070508,13.31
10070509,9.60
10070510,18.64
10070511,9.62
10070512,9.01
10070513,15.86
10070514,41.36
10070515,13.63
10070516,2.55
10070517,33.75
10070518,107.56
10070519,438.61
10070520,173.78
10070521,138.14
10070522,122.54
10070523,273.11
10070524,12.92
10070525,11.78
10070526,144.12
10070527,21.48
10070528,17.78
10070529,6.54
10070530,13.15
10070531,0.38
10070532,0.69
10070533,0.38
10070534,0.48
10070535,0.38
10070536,0.93
10070537,15.13
10070538,171.72
10070539,10.05
10070540,3.89
10070541,5.01
10070542,2.03
10070543,3.34
10070544,11.15
10070545,151.82
10070546,12.06
10070547,79.81
10070548,87.69
10070549,6.17
10070550,180.11
10070551,20.71
10070552,159.74
10070553,110.82
10070554,0.62
10070555,0.21
10070556,0.60
10070557,0.31
10070558,0.47
10070559,5.12
10070560,1.84
10070561,20.10
10070562,0.70
10070563,4.34
10070564,42.14
10070565,1341.22
10070566,50.58
1008,9314.57
10080161,17.63
10080162,13.87
10080163,12.15
10080164,173.48
10080165,14.60
10080166,5.92
10080167,93.24
10080168,5.31
10080169,41.74
10080170,93.32
10080171,12.74
10080172,8.77
10080173,8.95
10080174,9.54
10080175,8.53
10080176,3.15
10080177,1.39
10080178,3.14
10080179,2.98
10080180,54.67
10080181,7.85
10080182,11.17
10080183,7.07
10080184,9.00
