X,Y,id,CMAUID,CTUID
-79.6829271046739,43.4430298672528,35240225,535,5350606.00
-79.6794976855173,43.4408382300102,35240226,535,5350606.00
-79.6824037513232,43.4394423437033,35240227,535,5350606.00
-79.6872805609442,43.4415407760059,35240228,535,5350606.00
-79.8787962234876,43.3144820143839,35240403,537,5370200.00
-79.8286222546405,43.3124014900905,35240404,537,5370203.00
-79.8327871989216,43.3180430276455,35240405,537,5370203.00
-79.8375241116707,43.3203111766269,35240406,537,5370201.00
-79.8270071110291,43.3200638448263,35240409,537,5370204.00
-79.7115417484307,43.4289259746667,35240239,535,5350607.00
-79.7061056291673,43.4194159379872,35240240,535,5350608.00
-79.7009378818034,43.4183948546316,35240241,535,5350608.00
-79.7058299602082,43.4136508795989,35240242,535,5350608.00
-79.709303422054,43.415701750735,35240243,535,5350608.00
-79.7108952957918,43.4106132336906,35240244,535,5350611.00
-79.6637846469403,43.581291931448,35210689,535,5350527.08
-79.6588669504175,43.5820831988725,35210690,535,5350527.08
-79.6550294439592,43.579374290783,35210691,535,5350527.08
-79.6551620544718,43.5797215035932,35210692,535,5350527.08
-79.6592026037236,43.5784508388496,35210693,535,5350527.08
-79.6585277859318,43.5766843436703,35210694,535,5350527.08
-79.6587995259888,43.5752201895221,35210695,535,5350527.08
-79.6637946726516,43.5767563521248,35210696,535,5350527.08
-79.6645604115011,43.5733916419216,35210697,535,5350527.09
-79.6612958713834,43.5727288765947,35210698,535,5350527.09
-79.6654406816848,43.5704885394519,35210699,535,5350527.09
-79.6692577873141,43.5724254653124,35210700,535,5350527.09
-79.7244718825367,43.6330780219916,35211720,535,5350528.49
-79.7216138332634,43.6347570639672,35211721,535,5350528.48
-79.7200711249078,43.6364321593978,35211722,535,5350528.48
-79.7168376329675,43.6344733132502,35211723,535,5350528.41
-79.7196226610862,43.632274985622,35211724,535,5350528.41
-79.6704620482917,43.5738719203559,35210701,535,5350527.09
-79.6643063461087,43.5618882279886,35210703,535,5350519.00
-79.6592088006961,43.5599341168721,35210704,535,5350519.00
-79.6663386641913,43.5591001016323,35210705,535,5350517.00
-79.6574772521053,43.5564082814494,35210706,535,5350517.00
-79.6552159835102,43.5509068798708,35210707,535,5350517.00
