X,Y,id,CMA
-79.4272866628539,43.8781931250116,5350422.06,535
-79.9209599103158,43.3322864632228,5370140.03,537
-79.9055077972394,43.3207105079823,5370140.04,537
-78.7093948477407,43.9021205506669,5320202.11,532
-78.8804595190866,43.9432447840073,5320015.02,532
-79.4191159981768,43.8419303132961,5350420.13,535
-79.8617139373269,43.1994708509983,5370001.08,537
-79.8748633957976,43.1952395386161,5370001.09,537
-80.0158380363583,43.1743482396105,5370120.02,537
-79.3947730917548,43.8915158516568,5350422.03,535
-79.3992771567775,43.8840380457486,5350422.04,535
-79.4106796464384,43.8829309098464,5350422.05,535
-79.4572829004004,43.9008262397401,5350424.07,535
-79.4559001749934,43.8915808721735,5350424.08,535
-79.4878622883678,44.0264016585815,5350451.07,535
-79.4893243517595,44.0376929900003,5350451.06,535
-79.6954272960441,43.5624177410743,5350516.31,535
-79.7805916369742,43.5757014501173,5350516.32,535
-79.6216181118343,43.580807494676,5350520.07,535
-79.6298581009633,43.5735093205711,5350520.08,535
-79.0909679300208,43.8344591062765,5350804.10,535
-79.0719736462527,43.8434426114826,5350804.11,535
-79.4494922808574,44.0342299168716,5350450.05,535
-79.4261640544627,44.0399272574235,5350450.06,535
-79.7896208884583,43.6946256423802,5350573.06,535
-79.7759278529439,43.6852901816202,5350573.07,535
-79.7598374385015,43.7425276414649,5350576.16,535
-79.7536209332142,43.7464285205498,5350576.17,535
-79.7242428841957,43.8791912691015,5350585.09,535
-79.7103126646469,43.8646888496605,5350585.10,535
-79.838108359976,43.7964309848043,5350586.01,535
-79.9024453467999,43.7378817548763,5350586.02,535
-79.7067437747184,43.5688556125993,5350516.30,535
-79.4682535144262,43.9449438267959,5350424.09,535
-79.4705189917993,43.9546375826392,5350424.10,535
-79.4444497376279,43.9545642680556,5350424.11,535
-79.6659931763191,43.6251788276971,5350528.34,535
-79.6284325001663,43.6397934427932,5350528.35,535
-79.6329722735766,43.7218041330377,5350530.01,535
-79.6291201778922,43.7186291220618,5350530.02,535
-79.7023101788012,43.6161455489081,5350528.32,535
-79.7148517142716,43.6065333322646,5350528.33,535
-79.4923080381629,44.0467101688317,5350451.05,535
-79.515638867465,43.8452621529513,5350411.07,535
-79.554787503823,43.7929526791274,5350412.12,535
-79.5507935728784,43.8005651319694,5350412.13,535
-79.5122097478934,43.8071539270068,5350411.08,535
-79.4879256083529,43.835813017427,5350411.09,535
-79.391439021821,43.6974560729963,5350128.04,535
-79.6110845294903,43.8064848644672,5350412.14,535
-79.592796798032,43.8049097294133,5350412.15,535
-79.5340902504943,43.858038706103,5350411.12,535
-79.2302604431168,43.7815300136615,5350363.07,535
-79.2683840492696,43.7991492570809,5350378.23,535
-79.2539518999348,43.8040995961013,5350378.24,535
-79.2481514896146,43.777706665779,5350363.06,535
-79.2602031840463,43.8482669480883,5350400.13,535
-79.2593304544504,43.8383772726538,5350400.14,535
-79.2978805655032,43.8395066623868,5350401.17,535
-79.2432263936406,43.862822839755,5350400.16,535
-79.4157981877873,43.642073783882,5350010.01,535
-79.4072102058463,43.6432217604787,5350010.02,535
-79.2466979123106,43.8720944366787,5350400.15,535
-79.7408605390406,43.6450363902508,5350528.36,535
-79.766180200542,43.6246183164739,5350528.37,535
-79.3711940139048,43.8756574340181,5350403.04,535
-79.3287919461217,43.8858156925278,5350403.05,535
-79.7897402769718,43.6808460572911,5350573.09,535
-79.7568427765394,43.6132299766606,5350528.39,535
-79.7281433988836,43.6185957737358,5350528.40,535
-79.5650004328277,43.8150792522112,5350412.18,535
-79.7480122189957,43.7514032158741,5350576.20,535
-79.7346122793226,43.7626120336291,5350576.22,535
-79.6549160571415,43.6709325493771,5350528.41,535
-79.6909911547887,43.6039631308937,5350528.42,535
-79.6771102666572,43.5933974264314,5350528.43,535
-79.3024730623535,43.8872752480264,5350403.07,535
-79.0312304125464,43.8738523361513,5350805.09,535
-79.0454451999883,43.8690446101758,5350805.10,535
-78.8630836779601,43.9459284821173,5320016.01,532
-78.9448764633206,43.9658697944469,5320105.12,532
-79.0589050085105,43.8944615618963,5350805.12,535
-79.7754711324871,43.4219992211113,5350612.15,535
-79.475421326268,43.8401965022884,5350411.28,535
-79.8743247684166,43.2506774978549,5370038.00,537
-79.8791356297647,43.2517720890486,5370039.00,537
-79.8840812989108,43.2528593007086,5370040.00,537
-79.8848749335128,43.2592013585697,5370041.00,537
-79.521333879035,43.7118958401142,5350282.00,535
-79.4849571299145,43.7145432261133,5350284.00,535
-79.4754172549444,43.716898431443,5350285.00,535
-79.4587852914486,43.7203893860052,5350286.00,535
-78.8265966294317,43.8769043838117,5320001.00,532
-79.7889408442079,43.4096787727352,5370223.09,537
-79.7968219719927,43.4023780909538,5370223.10,537
-78.8575872587629,43.8915639073061,5320005.00,532
-78.8468281992414,43.8867018287045,5320006.00,532
-78.8438699565339,43.8961874408191,5320007.00,532
-79.7812741906905,43.3874180531582,5370223.12,537
-78.8621412693844,43.9000354998148,5320010.00,532
-78.8681863220102,43.9096518919259,5320011.00,532
-79.8710691654522,43.6384068145963,5350631.02,535
-79.4788819183594,43.7029360864505,5350280.00,535
-79.5415466575112,43.7014557230862,5350239.00,535
-79.2208837172335,43.7364984156136,5350332.00,535
-79.2273176064649,43.7278010539129,5350333.00,535
-79.1636808328403,43.7680502867448,5350360.00,535
-79.5565383012673,44.1214634599475,5350481.02,535
-79.2655171909548,43.6919421233229,5350338.00,535
-79.306839463738,43.7621126248624,5350372.00,535
-79.3131085433085,43.7584540034818,5350373.00,535
-79.3851517388024,43.6389518540877,5350012.04,535
