id,X,Y
"x",0,0
5320001.00,-78.84252025614043,43.87915860072816
5320002.01,-78.84064339334894,43.86463166139503
5320002.02,-78.8571413293131,43.87382982936986
5320002.03,-78.85409064550323,43.86067460339825
5320003.01,-78.88834278682582,43.88595894142023
5320003.02,-78.89556651839241,43.9016498778987
5320004.01,-78.86972811890054,43.88183595884281
5320004.02,-78.87276457807876,43.88912480156935
5320005.00,-78.85796952603015,43.8915970014202
5320006.00,-78.84627959738067,43.88677903694825
5320007.00,-78.84430701817286,43.89636099874259
5320008.01,-78.81051740618629,43.88937264326942
5320008.02,-78.83131728215315,43.89532630416345
5320008.03,-78.8210815324645,43.90059027367946
5320008.05,-78.82995925192536,43.90979204626538
5320008.06,-78.82912640096848,43.91867984636352
5320008.07,-78.83666429774199,43.93417243210706
5320009.01,-78.84780512407077,43.90459912889153
5320009.02,-78.8444923949268,43.91584898013722
5320009.03,-78.85112336655318,43.928672356665274
5320009.04,-78.85398500934043,43.91274666491943
5320009.05,-78.85997293804475,43.92556228886208
5320010.00,-78.86305756221877,43.900612795337715
5320011.00,-78.86641373826605,43.909987694685945
5320012.01,-78.87756104607058,43.89782259656882
5320012.02,-78.88343136200795,43.905341195963025
5320013.00,-78.89217559500071,43.91558074304866
5320014.01,-78.86913696499082,43.922158828505005
5320014.02,-78.87328402158134,43.930814346800275
5320015.02,-78.87855333216105,43.94261345170047
5320015.03,-78.88295303081159,43.92850156697392
5320015.04,-78.89090263605638,43.93713868219387
5320016.01,-78.86320477653926,43.94520028952732
5320016.03,-78.83887265865144,43.95040674898159
5320016.04,-78.89686151404518,43.96597400308698
5320100.01,-78.9455899269829,43.85497191762119
5320100.02,-78.96432621967647,43.871193657546875
5320100.03,-78.96693342692397,43.88506110975512
5320101.02,-78.91056163002501,43.89686545322405
5320101.03,-78.92291488580439,43.89503835905509
5320101.04,-78.9317152352823,43.89231547967342
5320101.05,-78.91951474250202,43.8800221292764
5320101.06,-78.90252459499199,43.880581677230396
5320102.01,-78.94344372487261,43.893124758669245
5320102.02,-78.94099821716627,43.885386859006076
5320102.03,-78.9346367359401,43.87458818728588
5320103.00,-78.94486800654114,43.87264844328567
5320104.00,-78.9507761755222,43.88750615320841
5320105.03,-78.9723086175085,43.90382390703087
5320105.04,-78.95766787698088,43.90524211962951
5320105.05,-78.9510051814396,43.90756226410035
5320105.06,-78.94532981813532,43.9068457097373
5320105.07,-78.93829425952394,43.90822519402162
5320105.08,-78.92944737954396,43.913280272817275
5320105.09,-78.92014125126096,43.91935845970896
5320105.10,-78.9155032906001,43.91098962175488
5320105.12,-78.94603209641996,43.965556595609954
5320105.14,-78.96467311189333,43.92395220427881
5320105.15,-78.94226681316904,43.93274684972449
5320105.16,-78.96988946458383,43.960101450319556
5320105.17,-78.98707025513644,43.99420932331458
5320200.00,-78.57335467265175,43.9828111479083
5320201.01,-78.59636267888968,43.90827455565649
5320201.02,-78.57581805872627,43.91995673689164
5320202.04,-78.80217978874157,43.898421739998916
5320202.05,-78.79077932653502,43.90295532898515
5320202.08,-78.80769345382642,43.91389689522166
5320202.09,-78.79660473606073,43.919205600325334
5320202.11,-78.70693979941815,43.90151606255866
5320202.12,-78.78112947513486,43.9055345287675
5320202.13,-78.79857797110499,43.88657712181581
5320202.14,-78.74827906079454,43.90099322282428
5320202.15,-78.63241522479854,43.89763468555486
5320202.16,-78.71436579349937,43.93204770807588
5320202.17,-78.78728456492027,43.91720381782029
5320202.18,-78.78720881470109,43.92844719492172
5320203.01,-78.68421522297707,43.931475444499974
5320203.02,-78.67470311119894,43.92341520015384
5320203.03,-78.68119319771456,43.915556438825746
5320203.04,-78.69569296562297,43.927324346883736
5320204.00,-78.67742495984795,43.906638855202566
5320205.01,-78.69470032280965,43.898628924735384
5320205.02,-78.69260973206028,43.90493088715543
5320206.00,-78.76509365835845,44.00361132316466
5350001.00,-79.33770370155163,43.656693566089885
5350002.00,-79.3607216599737,43.62906881076198
5350003.00,-79.45442661647012,43.63499225925567
5350004.00,-79.43858217478876,43.63737902954773
5350005.00,-79.42984927467347,43.63977354156907
5350006.00,-79.433335924276,43.6359088946945
5350007.01,-79.43321594862435,43.63559057824987
5350007.02,-79.42851100690024,43.63690676506651
5350008.01,-79.41709506966932,43.63844840538323
5350008.02,-79.4030959997035,43.63620999941436
5350009.00,-79.4187752410369,43.6426646776632
5350010.01,-79.41559934940302,43.641971432751035
